"type","choice_list","type_options","name","label","label_parsed","optional","class","showif","value","block_order","item_order","choices","index"
"get",,"PROLIFIC_PID","prolific_code","","",0,,"",,"",1,,1
"note",,,"note_intro","# Similarity of artificial scenes
 
In this study, you will evaluate the similarity of artificially generated photographs. Your task is to determine, for each pair, which of the two images most closely resembles the third image.","<h1>Similarity of artificial scenes</h1>
<p>In this study, you will evaluate the similarity of artificially generated photographs. Your task is to determine, for each pair, which of the two images most closely resembles the third image.</p>",1,,"",,"",1,,2
"submit",,,"page_1","Continue","Continue",0,,"",,"",2,,3
"note",,,"note_consent","**Study Title:** Image Perception and Similarity Rating Task of Artificial scenes
 
 **Introduction**
 You are invited to take part in a research study about how people perceive and compare images. Before you decide to participate, please read the information below carefully.
 
 ---
 
 **What data will be collected?**
 We will collect your responses to image rating tasks, along with your Prolific ID. No directly identifying personal information (such as your name or contact details) will be collected. This study does not collect sensitive personal data.
 
 ---
 
 **What will you do?**
 You will be shown sets of three images. Two images will appear on the bottom row, and one image will appear above them. The top image is a blend of the two bottom images. You will be asked to rate or evaluate the relationship or similarity between these images according to the instructions provided.
 
 ---
 
 **How will the data be used?**
 Your responses will be used for academic research purposes to better understand human visual perception. Results may be published in scientific papers or presentations.
 
 ---
 
 **How will the data be stored and for how long?**
 Your data will be stored securely on password-protected systems and will be retained for [X years] in accordance with research data policies.
 
 ---
 
 **Anonymity and confidentiality**
 Your responses will be stored using a pseudonymous identifier (your Prolific ID). No identifying information will be linked to your responses in any publications or shared datasets.
 
 ---
 
 **Data sharing**
 Anonymized data may be shared with other researchers or made available in online repositories for scientific purposes.
 
 ---
 
 **Voluntary participation and withdrawal**
 Your participation is voluntary. You may withdraw at any time by exiting the study and returning your submission on Prolific. If you wish to withdraw your data after participation, you may contact the researcher using the details below. After anonymization, it may not be possible to remove your data.
 
 ---
 
 **Legal basis for data processing**
 This study is conducted under the legal basis of your consent in accordance with the General Data Protection Regulation (GDPR).
 
 ---
 
 **Contact information**
 If you have any questions about this study or your data, please contact:
 dechterenko@praha.psu.cas.cz
 
 ---
 
 **Consent**
 Please indicate whether you agree with the following statements:
 
 * I have read and understood the information above
 * I understand how my data will be collected and used
 * I understand that my participation is voluntary and that I can withdraw at any time
 * I am at least 18 years old
 
 (If you do not consent, please exit the study now.)","<p><strong>Study Title:</strong> Image Perception and Similarity Rating Task of Artificial scenes</p>
<p><strong>Introduction</strong><br />
You are invited to take part in a research study about how people perceive and compare images. Before you decide to participate, please read the information below carefully.</p>
<hr />
<p><strong>What data will be collected?</strong><br />
We will collect your responses to image rating tasks, along with your Prolific ID. No directly identifying personal information (such as your name or contact details) will be collected. This study does not collect sensitive personal data.</p>
<hr />
<p><strong>What will you do?</strong><br />
You will be shown sets of three images. Two images will appear on the bottom row, and one image will appear above them. The top image is a blend of the two bottom images. You will be asked to rate or evaluate the relationship or similarity between these images according to the instructions provided.</p>
<hr />
<p><strong>How will the data be used?</strong><br />
Your responses will be used for academic research purposes to better understand human visual perception. Results may be published in scientific papers or presentations.</p>
<hr />
<p><strong>How will the data be stored and for how long?</strong><br />
Your data will be stored securely on password-protected systems and will be retained for [X years] in accordance with research data policies.</p>
<hr />
<p><strong>Anonymity and confidentiality</strong><br />
Your responses will be stored using a pseudonymous identifier (your Prolific ID). No identifying information will be linked to your responses in any publications or shared datasets.</p>
<hr />
<p><strong>Data sharing</strong><br />
Anonymized data may be shared with other researchers or made available in online repositories for scientific purposes.</p>
<hr />
<p><strong>Voluntary participation and withdrawal</strong><br />
Your participation is voluntary. You may withdraw at any time by exiting the study and returning your submission on Prolific. If you wish to withdraw your data after participation, you may contact the researcher using the details below. After anonymization, it may not be possible to remove your data.</p>
<hr />
<p><strong>Legal basis for data processing</strong><br />
This study is conducted under the legal basis of your consent in accordance with the General Data Protection Regulation (GDPR).</p>
<hr />
<p><strong>Contact information</strong><br />
If you have any questions about this study or your data, please contact:<br />
dechterenko@praha.psu.cas.cz</p>
<hr />
<p><strong>Consent</strong><br />
Please indicate whether you agree with the following statements:</p>
<ul>
<li>I have read and understood the information above</li>
<li>I understand how my data will be collected and used</li>
<li>I understand that my participation is voluntary and that I can withdraw at any time</li>
<li>
<p>I am at least 18 years old</p>
<p>(If you do not consent, please exit the study now.)</p>
</li>
</ul>",1,,"",,"",3,,4
"check",,,"confirm_consent","__I consent to participate in this study__","<strong>I consent to participate in this study</strong>",1,,"",,"",4,,5
"submit",,,"page_3","Continue","Continue",0,,"",,"",5,,6
"note",,,"note_example","Here is an example of the task. Use the slider to indicate how similar the image is to the left or the right image.
 <div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/lAXO90sMrvVyPJHoPU7f/instructions.png?v=1774426168"" alt=""1_inst"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<p>Here is an example of the task. Use the slider to indicate how similar the image is to the left or the right image.</p>
<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/lAXO90sMrvVyPJHoPU7f/instructions.png?v=1774426168"" alt=""1_inst"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"",6,,7
"submit",,,"page_3b","Continue","Continue",0,,"",,"",7,,8
"note",,,"note_ntrials","There are 50 trials in total. Among these trials, there are 4 trials in which there is a correct answer (the upper image is identical to one of the images below). In order to successfully pass the study, you need to answer correctly in these trials by selecting the correct end of the scale.","There are 50 trials in total. Among these trials, there are 4 trials in which there is a correct answer (the upper image is identical to one of the images below). In order to successfully pass the study, you need to answer correctly in these trials by selecting the correct end of the scale.",1,,"",,"",8,,9
"submit",,,"page_3c","Continue","Continue",0,,"",,"",9,,10
"note",,,"note_1","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/4kG7bo_k5xRLFxASSxUI/1_kolaz.png?v=1773299464"" alt=""1_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/4kG7bo_k5xRLFxASSxUI/1_kolaz.png?v=1773299464"" alt=""1_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"A",10,,11
"note",,,"note_5","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/4kG7bo_k5xRLFxASSxUI/5_kolaz.png?v=1773299464"" alt=""5_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/4kG7bo_k5xRLFxASSxUI/5_kolaz.png?v=1773299464"" alt=""5_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"E",10,,12
"note",,,"note_9","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/4kG7bo_k5xRLFxASSxUI/9_kolaz.png?v=1773299464"" alt=""9_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/4kG7bo_k5xRLFxASSxUI/9_kolaz.png?v=1773299464"" alt=""9_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"I",10,,13
"note",,,"note_13","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/D4AcHbtIBnO1mBwXq-Gp/13_kolaz.png?v=1773299540"" alt=""13_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/D4AcHbtIBnO1mBwXq-Gp/13_kolaz.png?v=1773299540"" alt=""13_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"M",10,,14
"note",,,"note_17","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/D4AcHbtIBnO1mBwXq-Gp/17_kolaz.png?v=1773299540"" alt=""17_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/D4AcHbtIBnO1mBwXq-Gp/17_kolaz.png?v=1773299540"" alt=""17_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"Q",10,,15
"note",,,"note_21","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/23JTiwg3l37caGcfIJV1/21_kolaz.png?v=1773300616"" alt=""21_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/23JTiwg3l37caGcfIJV1/21_kolaz.png?v=1773300616"" alt=""21_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"U",10,,16
"note",,,"note_25","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/23JTiwg3l37caGcfIJV1/25_kolaz.png?v=1773300616"" alt=""25_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/23JTiwg3l37caGcfIJV1/25_kolaz.png?v=1773300616"" alt=""25_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"Y",10,,17
"note",,,"note_29","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/8oxJ1_dRth2R80VczIOv/29_kolaz.png?v=1773300633"" alt=""29_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/8oxJ1_dRth2R80VczIOv/29_kolaz.png?v=1773300633"" alt=""29_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"CC",10,,18
"note",,,"note_33","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/wRmP5kYYzKTtrPl6dn7i/33_kolaz.png?v=1773300823"" alt=""33_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/wRmP5kYYzKTtrPl6dn7i/33_kolaz.png?v=1773300823"" alt=""33_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"GG",10,,19
"note",,,"note_37","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/NpYfhz3ouSK3DqZEI1He/37_kolaz.png?v=1773300844"" alt=""37_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/NpYfhz3ouSK3DqZEI1He/37_kolaz.png?v=1773300844"" alt=""37_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"KK",10,,20
"range","slider_1","1,100,1","slider_1","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"A",11,"1=Left,2=Right",21
"range","slider_5","1,100,1","slider_5","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"E",11,"1=Left,2=Right",22
"range","slider_9","1,100,1","slider_9","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"I",11,"1=Left,2=Right",23
"range","slider_13","1,100,1","slider_13","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"M",11,"1=Left,2=Right",24
"range","slider_17","1,100,1","slider_17","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"Q",11,"1=Left,2=Right",25
